Tier 1 Contextual Category;Tier 2 Contextual Category; Cost (EUR) ;Impressions;Clicks;CTR (%); eCPM (EUR) ; eCPC (EUR) ;Leads (All); eCPL (All) (EUR) ;COV (%)
Travel;Africa; 32,24 ;211 289;150;0,07%; 0,15 ; 0,21 ;3; 10,75 ;2,00%
Travel;Air Travel; 700,80 ;268 263;185;0,07%; 2,61 ; 3,79 ;3; 233,60 ;1,62%
Travel;Australia & New Zealand; 34,00 ;211 428;150;0,07%; 0,16 ; 0,23 ;3; 11,33 ;2,00%
Travel;Bed & Breakfasts; 665,36 ;264 513;174;0,07%; 2,52 ; 3,82 ;3; 221,79 ;1,72%
Travel;Budget Travel; 32,72 ;211 303;150;0,07%; 0,15 ; 0,22 ;3; 10,91 ;2,00%
Travel;Business Travel; 32,72 ;211 303;150;0,07%; 0,15 ; 0,22 ;3; 10,91 ;2,00%
Travel;By US Locale; 32,24 ;211 289;150;0,07%; 0,15 ; 0,21 ;3; 10,75 ;2,00%
Travel;Camping; 79,28 ;215 602;150;0,07%; 0,37 ; 0,53 ;3; 26,43 ;2,00%
Travel;Canada; 32,24 ;211 289;150;0,07%; 0,15 ; 0,21 ;3; 10,75 ;2,00%
Travel;Caribbean; 20,24 ;210 805;150;0,07%; 0,10 ; 0,13 ;3; 6,75 ;2,00%
Travel;Cruises; 45,76 ;212 238;151;0,07%; 0,22 ; 0,30 ;3; 15,25 ;1,99%
Travel;Eastern Europe; 32,24 ;211 289;150;0,07%; 0,15 ; 0,21 ;3; 10,75 ;2,00%
Travel;Europe; 34,00 ;211 428;150;0,07%; 0,16 ; 0,23 ;3; 11,33 ;2,00%
Travel;France; 34,00 ;211 428;150;0,07%; 0,16 ; 0,23 ;3; 11,33 ;2,00%
Travel;Greece; 32,24 ;211 289;150;0,07%; 0,15 ; 0,21 ;3; 10,75 ;2,00%
Travel;Honeymoons/Getaways; 124,00 ;220 173;154;0,07%; 0,56 ; 0,81 ;3; 41,33 ;1,95%
Travel;Hotels; 896,16 ;288 216;177;0,06%; 3,11 ; 5,06 ;3; 298,72 ;1,69%
Travel;Italy; 32,24 ;211 289;150;0,07%; 0,15 ; 0,21 ;3; 10,75 ;2,00%
Travel;Japan; 32,24 ;211 289;150;0,07%; 0,15 ; 0,21 ;3; 10,75 ;2,00%
Travel;Mexico & Central America; 22,00 ;210 944;150;0,07%; 0,10 ; 0,15 ;3; 7,33 ;2,00%
Travel;n/a; 9 549,76 ;1 133 223;618;0,05%; 8,43 ; 15,45 ;3; 3 183,25 ;0,49%
Travel;National Parks; 42,48 ;212 270;151;0,07%; 0,20 ; 0,28 ;3; 14,16 ;1,99%
Travel;South America; 22,00 ;210 944;150;0,07%; 0,10 ; 0,15 ;3; 7,33 ;2,00%
Travel;Spas; 122,32 ;220 229;154;0,07%; 0,56 ; 0,79 ;3; 40,77 ;1,95%
Travel;Theme Parks; 50,80 ;212 984;150;0,07%; 0,24 ; 0,34 ;3; 16,93 ;2,00%
Travel;Traveling with Kids; 35,12 ;211 335;150;0,07%; 0,17 ; 0,23 ;3; 11,71 ;2,00%
Travel;United Kingdom; 34,00 ;211 428;150;0,07%; 0,16 ; 0,23 ;3; 11,33 ;2,00%
Uncategorized;n/a; 10 695,44 ;1 350 336;723;0,05%; 7,92 ; 14,79 ;4; 2 673,86 ;0,55%
